planet_name,orbital_period,planet_radius,planet_mass,star_temperature,star_radius,distance
11 Com b,323.21,12.2,4914.898486,4874,13.76,93.1846
11 UMi b,516.21997,12.3,4684.8142,4213,29.79,125.321
14 And b,186.76,13.1,1131.151301,4888,11.55,75.4392
14 Her b,1766.41,12.5,2828.672822,5338,0.93,17.9323
16 Cyg B b,798.5,13.5,565.7374,5750,1.13,21.1397
17 Sco b,578.38,12.9,1373.018718,4157,25.92,124.953
18 Del b,982.85,12.5,2926.246143,4980,8.8,76.222
1RXS J160929.1-210524 b,,18.647,3000,4060,1.31316,139.135
24 Boo b,30.33,13.9,280.6424834,4816,12.19,95.9863
24 Sex b,452.8,13.4,632.46,5098,4.9,72.0691
24 Sex c,883,13.9,273.32,5098,4.9,72.0691
2M0437 b,,13,1271.313628,3100,0.84,128.484
2MASS J01033563-5515561 AB b,,12.3,4131.79,,,47.2
2MASS J01225093-2439505 b,,11.209,7786.5,3530,0.36645,33.8281
2MASS J02192210-3925225 b,,16.14096,4417.837,3064,0.281,40.08964117
2MASS J0249-0557 c,,12.4,3686.809521,2859,0.315959,66.0613
2MASS J03590986+2009361 b,,12.2,5720.911326,2943,0.289776,117.435
2MASS J04414489+2301513 b,,12.6,2383.6,2936,0.231916,120.423987
2MASS J11011926-7732383 b,,11.9,8899.195396,,,
2MASS J11550485-7919108 b,,12.1,6356.56814,3021,0.600455,100.862
2MASS J12073346-3932539 b,,15.69257298,1652.707716,2825,0.21887,64.308
2MASS J19383260+4603591 b,406,13.4,603.877,29564,0.203,396.332
2MASS J21252752-8138278 b,,12.4,3813.940884,3592,0.672832,34.1154
2MASS J22362452+4751425 b,,12.3,3972.875,4045,0.641152,69.5737
2MASS J22501512+2325342 b,,11.9,9534.85221,3352,0.437589,57.2309
4 UMa b,270.27,12.6,2511.480072,4415,18.11,73.4603
47 UMa b,1078,13.2,804.08,5872,1.21334,13.7967
47 UMa c,2391,14.2,171.621,5872,1.21334,13.7967
47 UMa d,14002,13.5,521.22,5872,1.21334,13.7967
51 Eri b,9100,,3464.329636,7422,1.45,29.7575
51 Peg b,4.230785,14.3,146.2018,5758,1.17561,15.4614
55 Cnc B b,6.7994,1.69,3.5,3286,0.274,12.4773
55 Cnc B c,33.747,2.16,5.3,3286,0.274,12.4773
55 Cnc b,14.651552,13.9,263.9785,5198,0.98,12.5855
55 Cnc c,44.3936,8.51,54.4738,5198,0.98,12.5855
55 Cnc d,4799,13,1232.493,5198,0.98,12.5855
55 Cnc e,0.7365474,1.875,7.99,5172,0.943,12.5855
55 Cnc f,260.58,7.59,44.812,5198,0.98,12.5855
6 Lyn b,919.86,13.4,597.8352336,4941,4.94,54.6599
61 Vir b,4.215,2.11,5.1,5577,0.963,8.50332
61 Vir c,38.021,4.46,18.2,5577,0.963,8.50332
61 Vir d,123.01,5.11,22.9,5577,0.963,8.50332
7 CMa b,735.1,13.4,587.9855,4826,4.87,19.8101
7 CMa c,996,13.9,276.5121,4826,4.87,19.8101
70 Vir b,116.688,12.6,2380.45,5495,1.89,17.9011
75 Cet b,696.62,13.3,787.896621,4809,10.38,82.9613
75 Cet c,2051.62,13.9,289.8595072,4809,10.38,82.9613
8 UMi b,93.31,13.5,524.4168716,4847,10.73,162.552
81 Cet b,1005.57,13.1,1051.058542,4734,11.21,101.26
91 Aqr b,181.4,13.1,1017,4665,11,44.0304
AB Aur b,,12.5,2860.455663,9770,2.95887,162.127
AB Pic b,,12.3,4290.5,5285,0.999394,50.0475
AF Lep b,8905,13,1147.360549,6140,1.25,26.8564
AT2021ueyL b,4168.69,13.6,425.8900654,3680,,1040
AU Mic b,8.463446,4.79,8.99,3540,0.862,9.7221
AU Mic c,18.859023,2.79,14.46,3540,0.862,9.7221
AU Mic d,12.73596,1.02,1.053,3678,0.744,9.7221
AU Mic e,33.11,4.87,21.1,3665,0.82,9.7221
BD+03 2562 b,481.9,12.7,2034.112,4095,32.35,1070.63
BD+05 4868 A b,1.271869,,6.2,4596,0.69,43.5687
BD+14 4559 b,268.94,13.8,330.5432,4864,0.86,49.352
BD+15 2375 b,153.22,13.8,337.21763,4649,8.95,768.045
BD+15 2940 b,137.48,13.7,352.78,4796,14.7,426.42
BD+20 2457 b,379.63,12.1,6807.63,4137,49,1539.71
BD+20 2457 c,621.99,12.4,3963.17,4137,49,1539.71
BD+20 274 b,578.2,13,1334.886,4296,17.3,1322.51
BD+20 594 b,41.6855,2.57807,22.2481,5766,1.08,179.461
BD+37 3172 b,1887.76,12.4,3368.981114,4500,50.24,454.251
BD+42 2315 b,123.05,14.2,174.8056239,4500,17.85,610.715
BD+45 564 b,307.88,13.6,432.2466335,5004,0.813064,53.622
BD+48 738 b,392.6,13.9,289.2253,4414,11,871.493
BD+48 740 b,733,13.5,540.311,4534,10.33,666.589
BD+49 828 b,2590,13.5,508.5,4943,7.6,442.042
BD+55 362 b,265.59,14,228.836453,5012,0.896193,52.5697
BD+60 1417 b,,14.68376472,4767.426105,4993,0.797,44.9543
BD+63 1405 b,1198.48,12.4,3305.415433,5000,0.804724,38.0473
BD-06 1339 b,3.8728,,1523.033726,4324,0.686355,20.2695
BD-06 1339 c,125.94,8.38,53,4324,0.686355,20.2695
BD-08 2823 b,5.6,,2948.494132,4816,0.71,41.3342
BD-08 2823 c,237.6,12.5,104,4746,0.71,41.3342
BD-10 3166 b,3.48777,14.1,187.5197,5393,0.91,84.4069
BD-11 4672 b,1634,14.1,206.5895,4550,0.639,27.1665
BD-11 4672 c,74.2,4.04,15.37,4550,0.639,27.1665
BD-13 2130 b,714.29999,12.5,3108.3774,4545,19.17,925.214
BD-14 3065 b,4.2889731,21.59,3932,6935,2.35,589.423
BD-17 63 b,655.57,12.8,1639.99458,4714,0.74,34.4603
BD-210397 b,1891,14,214,4051,0.747,23.7324
BD-210397 c,6240,12.9,1525.576354,4051,0.747,23.7324
BEBOP-3 b,547,14.2,177.3482511,6033,1.414,119.052
BEBOP-4 AB b,1823.5,,8358.887104,5701.43,2.75645,234.294
Barnard b,3.1542,0.72,0.299,3195,0.185,1.82655
Barnard c,4.1244,0.743,0.335,3195,0.185,1.82655
Barnard d,2.3402,0.694,0.263,3195,0.185,1.82655
Barnard e,6.7392,0.637,0.193,3195,0.185,1.82655
CD Cet b,2.2907,1.82,3.95,3130,0.175,8.60715
CD-35 2722 b,,17.37392009,9375.938007,3689,0.558549,22.3896
CFBDSIR J145829+101343 b,10037.5,12.4,3337.1,580.5,,23.1
CFHTWIR-Oph 98 b,8040000,20.8487041,2479.061575,2320,0.245,
CHXR 73 b,,12.3,3994.486,3099,,190.374
CI Tau c,25.2,13,1144.182265,3807,1.880857,157.998
COCONUTS-2 b,402000000,12.44196858,2542.627256,3406,0.388,10.8864
CT Cha b,,24.66,5403,4403,1.679694,190.72
CWISEP J193518.59-154620.3 b,,12.2,4926.340309,,,14.43
CoRoT-1 b,1.5089557,16.7,327.35,5950,1.11,787.909
CoRoT-10 b,13.2406,10.87,874,5075,0.79,338.386
CoRoT-11 b,2.99433,16.03,740.51,6440,1.37,655.037
CoRoT-12 b,2.828042,16.14,291.438,5675,1.116,1126.37
CoRoT-13 b,4.03519,9.92,415.704,5945,1.01,1148.93
CoRoT-14 b,1.51214,12.22,2415.4,6035,1.21,1744.6
CoRoT-16 b,5.35227,13.11,170.032,5650,1.19,732.409
CoRoT-17 b,3.7681,11.43,772.29,5740,1.59,1176.12
CoRoT-18 b,1.9000693,14.68,1102.82,5440,1,764.889
CoRoT-19 b,3.89713,14.46,352.78,6090,1.65,790.663
CoRoT-2 b,1.7429935,16.432,1102.82,5625,0.906,213.283
CoRoT-20 b,9.24285,9.41556,1366.669,5880,1.02,844.061
CoRoT-20 c,1675,12.2,5403.11,5880,1.02,844.061
CoRoT-21 b,2.72474,14.5717,718.2958,6200,1.95,1398.834197
CoRoT-22 b,9.75598,4.88,12.2,5939,1.136,627.158
CoRoT-23 b,3.6313,11.77,889.9,5900,1.61,1060.97
CoRoT-24 b,5.1134,3.7,5.7,4950,0.86,591.555
CoRoT-24 c,11.759,5,28,4950,0.86,591.555
CoRoT-25 b,4.86069,12.11,85.81,6040,1.19,1103.48
CoRoT-26 b,4.20474,14.12,165.26,5590,1.79,1045.18
CoRoT-27 b,3.57532,11.287,3302.11,5900,1.08,1010.28
CoRoT-28 b,5.20851,10.704595,153.82972,5150,1.78,766.183
CoRoT-29 b,2.85057,10.0881,270.1555,5260,0.9,806.507
CoRoT-3 b,4.2568,11.32,6883.91,6740,1.56,768.771
CoRoT-30 b,9.06005,11.309881,921.707,5650,0.91,1032.23
CoRoT-31 b,4.62941,16.36514,266.9772,5700,2.15,2005.76
CoRoT-32 b,6.71837,6.38913,47.6745,5970,0.79,576.683
CoRoT-35 b,3.22748,18.83108758,349.6112477,6390,1.65,1123.21
CoRoT-36 b,5.616531,15.80466279,216.1233168,6730,1.52,925.958
CoRoT-4 b,9.20205,13.34,228.83,6190,1.17,726.412
CoRoT-5 b,4.0378962,15.558,148.42,6100,1.186,882.472
CoRoT-6 b,8.886593,13.068,940.74,6090,1.025,645.294
CoRoT-7 b,0.85359163,1.68135,4.07660518,5275,0.83,159.906
CoRoT-7 c,3.698,2.83,8.4,5256,0.864273,159.906
CoRoT-7 d,8.966,4.31,17.142,5250,0.8389,159.906
CoRoT-8 b,6.21229,6.39,69.92,5080,0.77,322.037
CoRoT-9 b,95.272656,11.948794,266.9772,5625,0.96,412.98
DE CVn b,4098.1,12.4,3823.273302,3579,0.424754,30.5225
DENIS-P J082303.1-491201 b,246.36,11.9,9057.77,,,20.77
DH Tau b,,30.2643,3496,4371,0.27,134.846
DMPP-1 b,17.812,4.26,16.8,6196,1.26,62.5388
DMPP-1 c,10.03,3.31,10.94,6196,1.26,62.5388
DMPP-1 d,3.1417,2.02,4.72,6196,1.26,62.5388
DMPP-1 e,5.516,1.86,4.13,6196,1.26,62.5388
DMPP-2 b,5.203,14.2,171.48,6500,1.78,137.94
DMPP-2 c,3.168,8.26,51.79,6500,1.78,137.94
DMPP-2 d,16.491,11.6,91.79,6500,1.78,137.94
DMPP-3 A b,5.59,1.44,2.67,5138,0.91,46.8917
DMPP-4 b,3.4982,3.53,12.2,6400,1.38,25.3284
DMPP-6 b,7.6027,2.28,5.8,6182.09,1.27,54.6303
DMPP-6 c,36.441,3.74,13.47,6182.09,1.27,54.6303
DMPP-7 b,4.984,9.13,61.39,5996.82,1.53949,101.386
DMPP-8 b,62.915,10.8,81.09,6009,1.24,76.1335
DMPP-9 b,12.733,3.89,14.43,6092,1.26,109.539
DP Leo b,10220,12.7,1995.88832,13500,0.0115,305.684
DS Tuc A b,8.138268,5.7,413.179,5428,0.964,44.0622
EPIC 201170410.02,6.7987,1.047,1.15,3648,0.282,134
EPIC 201238110 b,28.1656,1.87,4.16,3587,0.374,159.259
EPIC 201427007 b,0.72091,1.5,2.86,5633,0.94,706.391
EPIC 201497682 b,2.13174,0.692,0.26,4991,0.554,253.026
EPIC 201595106 b,0.87724,1.565,7.67,5679,0.98,232.1
EPIC 201615463 c,3.80464,1.22,1.98,5960,1.61,476.882
EPIC 201754305 d,2.71578,1.03,1.08,4761,0.544,334.967
EPIC 201757695.02,2.0478,0.90819,0.688,4520,0.655,577.6
EPIC 201833600 c,3.96151,1,0.972,4326,0.634,257.443
EPIC 201841433 b,4.1698,1.04,1.12,5053,0.628461,436.488
EPIC 205950854 c,8.050722,1.31,2.27,5502.7,0.83,243.935
EPIC 206024342 b,4.50756,1.7,3.53,5724,0.823,369.888
EPIC 206024342 c,0.911724,1.4,2.54,5724,1.1,369.888
EPIC 206024342 d,14.647531,2.6,7.27,5724,1.1,369.888
EPIC 206032309 b,2.87814,1.01,1.01,3489,0.37344,161.365
EPIC 206042996 b,5.2986,1.7,3.53,4114,0.5,451.769
EPIC 206042996 c,0.354884,1.2,1.87,4114,0.5,451.769
EPIC 206215704 b,2.255436,1,0.972,3297,0.25,109.888
EPIC 206317286 b,1.58252,0.96,0.84,4752,0.669,314.35
EPIC 206317286 c,17.515472,2.094,5.03,4752,0.758,314.35
EPIC 211822797 b,21.1701963,1.92,4.35,4057,0.58,186.197
EPIC 211945201 b,19.49221,5.76,11,6069,1.39,181.69
EPIC 212297394 b,2.289363,1.48,2.79,5171,0.8,418.395
EPIC 212297394 c,5.213965,2.27,5.77,5171,0.8,418.395
EPIC 212424622 b,18.0983,2.17,5.35,5782.33,1.2247,611.804
EPIC 212499991 b,34.885,1.6,3.19,4982.79,0.757541,283.29
EPIC 212587672 b,15.28078,1.26,2.13,6004,0.98,320.07
EPIC 212587672 c,23.228555,2.32,5.99,6004,0.98,320.07
EPIC 212624936 b,0.578657,1.2,1.87,5765,0.93,561.929
EPIC 212624936 c,11.811437,2.3,5.9,5765,0.93,561.929
EPIC 212737443 b,13.603,2.586,7.2,4684,0.673,336.25
EPIC 212737443 c,65.55,2.69,7.7,4684,0.673,336.25
EPIC 220492298 b,0.762406,0.99,0.937,5620,0.89,624.512
EPIC 220554210 c,0.70531,1.6,3.19,5499,1,496.289
EPIC 220674823 b,0.57130782,1.606,7.54,5578,0.99,244.59
EPIC 220674823 c,13.340603,2.712,7.9,5578,0.99,244.59
EPIC 228836835 b,0.728113,1.1,1.37,3782,0.32,150.124
EPIC 229004835 b,16.141132,2.332,10.4,5868,0.999,121.971
EPIC 246851721 b,6.180235,11.780659,953.49,6202,1.586,372.632
EPIC 248847494 b,3650,12.44199,4131.79,4898,2.7,551.886
EPIC 249893012 b,3.5951,1.95,8.75,5430,1.71,321.296
EPIC 249893012 c,15.624,3.67,14.67,5430,1.71,321.296
EPIC 249893012 d,35.747,3.94,10.18,5430,1.71,321.296
FU Tau b,,12.2,5085.28,2838,,133.4950466
G 192-15 b,2.27476,1.02,1.03,2999,0.170718,9.53114
G 192-15 c,1219,3.87,14.3,2999,0.170718,9.53114
G 196-3 b,,12,8263.538582,3517,0.522432,21.7912
G 261-6 b,5.4536,1.1,1.37,2907,0.153162,10.6267
G 264-012 b,2.30538,1.39,2.5,3326,0.305,16.009
G 264-012 c,8.0518,1.76,3.75,3326,0.305,16.009
G 268-110 b,1.43263,1.13,1.52,,0.177,
G 9-40 b,5.7459982,1.9,4,3395,0.3026,27.9276
GJ 1002 b,10.3465,1.03,1.08,3024,0.137,4.84867
GJ 1002 c,21.202,1.1,1.36,3024,0.137,4.84867
GJ 1061 b,3.2073,1.04,1.11,2953,0.156,3.67278
GJ 1061 c,6.6821,1.19,1.81,2953,0.156,3.67278
GJ 1061 d,13.066,1.16,1.67,2953,0.156,3.67278
GJ 1132 b,1.62892911,1.19151465,1.83704819,3229,0.2211,12.613
GJ 1132 c,8.929,1.43,2.64,3270,0.2105,12.613
GJ 1137 c,9.6412,2.11,5.12,5033.8,0.837,28.5159
GJ 1148 b,41.38,11.9,96.7,3287,0.358519,11.0143
GJ 1148 c,532.58,9.71,68.06,3287,0.358519,11.0143
GJ 1151 c,389.7,3.25,10.62,3280,0.1781,8.03625
GJ 1214 b,1.580404531,2.733,8.41,3101,0.2162,14.6427
GJ 1252 b,0.5182331,1.193,1.32,3458,0.391,20.373
GJ 1265 b,3.6511,2.63,7.4,3236,0.192,10.2525
GJ 1289 b,111.74,2.38,6.27,3296,0.245012,8.35147
GJ 143 b,35.61253,2.61,22.7,4640,0.695,16.32
GJ 15 A b,11.4407,1.55,3.03,3607,0.38,3.56228
GJ 15 A c,7600,6.67,36,3607,0.38,3.56228
GJ 160.2 b,5.2354,3.17,10.2,4347,0.655173,25.8557
GJ 163 b,8.63182,3.25,10.6,3500,0.409738,15.1285
GJ 163 c,25.63058,2.5,6.8,3500,0.409738,15.1285
GJ 163 d,603.95116,5.92,29.4,3500,0.409738,15.1285
GJ 179 b,2288,13.8,301.9369867,3370,0.38,12.356
GJ 180 b,17.133,2.43,6.49,3371,0.413049,11.9407
GJ 180 c,24.329,2.41,6.4,3371,0.413049,11.9407
GJ 180 d,106.3,2.66,7.56,3371,0.413049,11.9407
GJ 2030 b,2.38129,2.03,4.76742611,5485,2.24104,37.0788
GJ 2030 c,25533.11353,12.3,4069.157095,5485,2.24104,37.0788
GJ 2056 b,69.971,4.17,16.2,4069.95,0.709495,28.4434
GJ 2126 b,272.7,13.6,413.1769291,4159,0.728,38.129
GJ 229 A c,121.93268,2.87,8.58136699,3564,0.46,5.75624
GJ 229 b,579.47495,3.97,14.93793513,3564,0.46,5.75624
GJ 238 b,1.7446999,0.566,0.126,3485,0.4314,15.2142
GJ 251 b,14.237,1.79,3.85,3342,0.36,5.58057
GJ 251 c,53.647,1.8,3.88,3342,0.36,5.58057
GJ 27.1 b,15.819,3.66,13,3542,0.518887,23.6062
GJ 273 b,18.6498,1.51,2.89,3382,0.293,5.921535
GJ 273 c,4.7234,1.06,1.18,3382,0.293,5.921535
GJ 3021 b,133.71,13.1,1071.04,5540,0.9,17.5559
GJ 3082 b,11.949,2.79,8.2,3910,0.465216,16.6186
GJ 3090 b,2.85310198,2.18,4.52,3707,0.516,22.4751
GJ 3090 c,15.9407,3.14,10,3707,0.516,22.4751
GJ 3138 b,1.22003,1.18,1.78,3717,0.5,28.4712
GJ 3138 c,5.974,1.88,4.18,3717,0.5,28.4712
GJ 3138 d,257.8,3.23,10.5,3717,0.5,28.4712
GJ 317 b,695.69,13.3,794.5,3496,0.403,15.1968
GJ 317 c,6500,13.6,454.494622,3496,0.403,15.1968
GJ 3222 b,10.66669,3.4,11.44182265,5257.46,0.931389,18.23817
GJ 328 b,3771,13.3,797.7493016,3897,0.63,20.5266
GJ 328 c,241.8,4.91,21.4,3897,0.63,20.5266
GJ 3293 b,30.5987,5.19,23.54,3466,0.404,20.1903
GJ 3293 c,122.6196,4.87,21.09,3466,0.404,20.1903
GJ 3293 d,48.1345,2.67,7.6,3466,0.404,20.1903
GJ 3293 e,13.2543,1.63,3.28,3466,0.404,20.1903
GJ 3323 b,5.3636,1.23,2.02,3159,0.119,5.37484
GJ 3323 c,40.54,1.32,2.31,3159,0.119,5.37484
GJ 3341 b,14.207,2.46,6.6,3526,0.439,23.619
GJ 338 B b,24.422,3.25,10.6,4014,0.58,6.33256
GJ 341 b,7.57686,0.88,4,3770,0.5066,10.454
GJ 3470 b,3.3366496,4.57,13.9,3600,0.547,29.4214
GJ 3473 b,1.1980035,1.264,1.86,3347,0.364,27.3644
GJ 3473 c,15.509,2.63,7.41,3347,0.364,27.3644
GJ 3512 b,203.109,14.3,146.5188956,3141,0.139,9.48637
GJ 3512 c,2354,14.3,143.9762684,3141,0.139,9.48637
GJ 357 b,3.9306,1.2,1.84,3505,0.337,9.44181
GJ 357 c,9.1247,1.66,3.4,3505,0.337,9.44181
GJ 357 d,55.661,2.34,6.1,3505,0.337,9.44181
GJ 3634 b,2.64561,2.83,8.4,3517,0.43,20.3779
GJ 367 b,0.3219225,0.699,0.633,3522,0.458,9.41263
GJ 367 c,11.5301,1.86,4.13,3522,0.458,9.41263
GJ 367 d,34.369,2.33,6.03,3522,0.458,9.41263
GJ 3779 b,3.0232,2.75,8,3324,0.281,13.743
GJ 3929 b,2.616235,1.09,1.75,3384,0.32,15.8095
GJ 3929 c,15.04,2.26,5.71,3384,0.32,15.8095
GJ 393 b,7.02679,1.17,1.71,3579,0.426,7.03149
GJ 3942 b,6.905,2.57,7.14,3867,0.61,16.9287
GJ 3988 b,6.9442,1.74,3.69,3273,0.19734,9.9105
GJ 3998 b,2.65033,1.39,2.5,3726,0.5,18.1459
GJ 3998 c,13.727,2.5,6.82,3726,0.5,18.1459
GJ 3998 d,41.78,2.34,6.07,3726,0.5,18.1459
GJ 411 b,12.9394,1.45,2.69,3719,0.3685,5.675773
GJ 414 A b,50.8,2.63,7.6,4120,0.68,11.8893
GJ 414 A c,749.83,8.4,53.83,4120,0.68,11.8893
GJ 422 b,20.129,3.33,11.07,3323,0.370328,12.6631
GJ 4274 b,1.6339,1.53,2.97,3228,0.19,7.23556
GJ 4274 c,69.57,2.83,8.39,3228,0.19,7.23556
GJ 4276 b,13.352,4.22,16.57,3387,0.407,21.3362
GJ 433 b,7.3705,2.33,6.043,3461,0.5,9.06456
GJ 433 c,5094.105,6.27,32.422,3461,0.5,9.06456
GJ 433 d,36.059,2.14,5.223,3461,0.5,9.06456
GJ 436 b,2.64388312,4.17,22.1,3586.11,0.455,9.75321
GJ 463 b,3459,13.1,1080.616584,3563,0.483,18.3554
GJ 480 b,9.5536,2.91,8.8,3509,0.449,14.2358
GJ 486 b,1.46712127,1.289,2.77,3317,0.3243,8.07426
GJ 504 b,,12.10569916,1271.3,6234,1.26,17.5299
GJ 508.2 b,5300,,587.982553,3720,0.53,16.6374
GJ 514 b,140.43,2.13,5.2,3728,0.5,7.61778
GJ 536 b,8.70874,2.41,6.37,3641,0.529,10.4092
GJ 536 c,32.761,2.3,5.89,3641,0.529,10.4092
GJ 581 b,5.3686,4.79,20.5,3500,0.302,6.2981
GJ 581 c,12.9211,2.5,6.81,3500,0.302,6.2981
GJ 581 e,3.1481,1.38,2.48,3500,0.302,6.2981
GJ 625 b,14.628,1.49,2.82,3499,0.31,6.47249
GJ 649 b,600.1,10.8,81.99972901,3734,0.5,10.3796
GJ 667 C b,7.203,2.25,5.68,3350,,7.24396
GJ 667 C c,28.14,1.77,3.8,3350,,7.24396
GJ 667 C e,62.24,1.45,2.7,3350,,7.24396
GJ 667 C f,39.026,1.45,2.7,3350,,7.24396
GJ 667 C g,256.2,1.99,4.6,3350,,7.24396
GJ 674 b,4.6938,3.33,11.09,3600,0.36463,4.54896
GJ 676 A b,1051.44521,12.8,1840.862133,3734,0.69,16.0272
GJ 676 A c,13921.42302,12.3,4288.140867,3734,0.69,16.0272
GJ 676 A d,3.60076,1.78,3.81394088,3734,0.69,16.0272
GJ 676 A e,35.47358,2.47,6.67439655,3734,0.69,16.0272
GJ 680 b,17281.66514,12,7977.493016,3563,0.45933,9.67315
GJ 682 b,17.478,1.93,4.4,3028,0.298255,5.00671
GJ 682 c,57.32,2.89,8.7,3028,0.298255,5.00671
GJ 685 b,24.16,2.95,9,3816,0.54,14.3155
GJ 687 b,38.142,4.32,17.2,3413,0.4183,4.54939
GJ 687 c,727.562,4.14,16,3413,0.4183,4.54939
GJ 720 A b,19.466,3.77,13.64,3837,0.56,15.5575
GJ 724 b,5.101284,3.27,10.75,3799,0.52226,16.9658
GJ 740 b,2.37756,1.53,2.96,3913,0.56,11.1017
GJ 806 b,0.9263237,1.331,1.9,3600,0.4144,12.0445
GJ 806 c,6.64064,2.28,5.8,3600,0.4144,12.0445
GJ 832 b,3853,13.8,314.6501229,3472,0.441557,4.96435
GJ 849 b,1925.31,13.9,283.8207675,3467,0.45,8.80058
GJ 849 c,5990,13.8,314.6501229,3467,0.45,8.80058
GJ 86 b,15.76491,12.9,1404.8086,5182,0.77,10.7836
GJ 876 b,61.1166,13.3,723.2235,3293.74,0.3,4.67517
GJ 876 c,30.0881,14,226.9846,3293.74,0.3,4.67517
GJ 876 d,1.93778,2.51,6.83,3293.74,0.3,4.67517
GJ 876 e,124.26,3.92,14.6,3293.74,0.3,4.67517
GJ 887 b,9.2619,1.8,3.9,3688,0.468,3.28679
GJ 887 c,21.784,2.43,6.5,3688,0.468,3.28679
GJ 887 d,50.77,2.34,6.1,3688,0.468,3.28679
GJ 887 e,4.4249,1.12,1.46,3688,0.468,3.28679
GJ 896 A b,284.39,13.3,718.2921998,3345,0.394682,6.26022
GJ 900 b,,12.4,3496.112477,3976,0.716187,20.8065
GJ 9066 c,771.36,9.6,66.74396547,3154,0.164,4.471
GJ 9404 b,13.4586,3.48,11.9,3811,0.626041,23.8839
GJ 96 b,73.94,4.67,19.66,3785,0.580612,11.9315
GJ 9689 b,18.27,3.07,9.65,3836,0.57,30.6203
GJ 9714 b,19240.75467,12.5,2988.540511,4263,0.662662,20.5121
GJ 9773 b,2965,14.2,172.580825,3528,0.362,15.9211
GJ 9827 b,1.208974,1.44,4.28,4236,0.58,29.661
GJ 9827 c,3.648103,1.13,1.86,4236,0.58,29.661
GJ 9827 d,6.20183,1.98,3.02,4236,0.58,29.661
GPX-1 b,1.744579,16.47720163,6261.219618,7000,1.56,655.013
GQ Lup b,,33.6,6356,4360,1.94153,151.169
GSC 06214-00210 b,,20.1762,5000,4200,0.90484,108.5
GU Psc b,,14.179,3591.3,4031.81,0.450458,47.5501
Gaia-1 b,3.052524,13.77583728,533.9517238,5470,0.952,363.66
Gaia-2 b,3.6915224,14.81827249,259.6658085,5720,1.064,209.229
Gaia-4 b,571.3,12.4,3750.375203,4034,0.624,73.4829
Gaia-5 b,358.62,12.1,6633.078854,3447,0.345,41.1813
Gaia22dkvL b,,14.1,187.8365885,,,1270
Gl 378 b,3.822,3.66,13.02,3879,0.56,14.9545
Gl 410 b,6.02,2.83,8.4,3842,0.543,11.9324
Gl 49 b,13.8508,2.24,5.63,3805,0.511,9.8528
Gl 686 b,15.53,2.46,6.624,3656,0.427,8.15728
Gl 725 A b,11.2201,1.48,2.78,3433,0.351,3.5214
Gliese 12 b,12.761418,0.93,0.95,3328,0.265,12.21
HAT-P-1 b,4.46529976,14.784671,166.86075,5980,1.174,158.979
HAT-P-11 b,4.888,4.36,25,4653,0.683,37.7647
HAT-P-11 c,3361,13.2,851.7801308,4653,0.683,37.7647
HAT-P-12 b,3.2130598,10.749,67.059,4650,0.701,142.751
HAT-P-13 b,2.91625,14.258,270.462,5653,1.756,246.81
HAT-P-13 c,446.27,12.3,4538.421,5653,1.756,246.81
HAT-P-14 b,4.62767,15.91678,1093.3352,6600,1.82,222.663
HAT-P-15 b,10.8635,11.88154,616.5902,5568,1.07,192.516
HAT-P-16 b,2.77596727,14.68376472,1341.56043,6140,1.158,226.637
HAT-P-17 b,10.33852,11.76945,184.3414,5246,0.87,92.3831
HAT-P-17 c,5584,13.1,1080.6,5336.96,0.838682,92.3831
HAT-P-18 b,5.508023,11.153,62.61,4803,0.749,161.4
HAT-P-19 b,4.00878322,11.29865255,88.03846874,4962,0.773,202.078
HAT-P-2 b,5.6335158,10.659759,2866.812231,6380,1.39,127.774
HAT-P-2 c,8500,12.4,3400.763955,6412,1.416,127.774
HAT-P-20 b,2.875317,9.718,2302.899,4595,0.694,71.0374
HAT-P-21 b,4.12448,12.44199,1547.8321,5588,1.21,277.278
HAT-P-22 b,3.21222,12.89035,785.0401,5302,1.11,81.7647
HAT-P-23 b,1.212884,15.334,664.237,5905,1.203,364.813
HAT-P-24 b,3.35524,14.5717,238.3725,6373,1.38,415.344
HAT-P-25 b,3.65281514,12.722215,180.84527,5519,0.919,300.384
HAT-P-26 b,4.23452,7.06167,22.2481,5079,0.87,141.837
HAT-P-27 b,3.039577,11.43,197.05,5316,0.864673,199.173
HAT-P-28 b,3.257215,13.585,198.953,5680,1.103,401.319
HAT-P-29 b,5.72319,13.11453,279.6904,6087,1.3,313.576
HAT-P-3 b,2.8997,10.53646,206.5895,5185,0.87,134.554
HAT-P-30 b,2.8106,16.14096,263.7989,6304,1.31,213.985
HAT-P-31 b,5.00542,12.21781,721.4741,6065,1.39,344.05
HAT-P-32 b,2.1500082,22.19382,216.1244,6001,1.367,289.205
HAT-P-33 b,3.47447,20.73665,292.4036,6446,1.79,396.11
HAT-P-34 b,5.452654,13.417173,1058.3739,6442,1.53,249.325
HAT-P-35 b,3.646706,14.930388,335.62848,6096,1.435,506.965
HAT-P-36 b,1.32734683,14.313893,587.413406,5620,1.041,294.419
HAT-P-37 b,2.797436,13.204,371.528,5500,0.877,390.594
HAT-P-38 b,4.640382,9.247,84.857,5330,0.923,255.206
HAT-P-39 b,3.54387,17.609,190.372,6430,1.625,697.004
HAT-P-4 b,3.056536,14.28,213.255,5860,1.596,320.451
HAT-P-40 b,4.45724,17.03768,152.5584,6080,1.94,464.469
